model,task,date,accuracy,macro_f1,majority_baseline,acc@1,acc@5,mrr,pearson_r,spearman_r
pubmedbert,entity_linking_bc5cdr_c,2026-04-04,,,,0.0,0.0,0.0,,
sapbert,entity_linking_bc5cdr_c,2026-04-05,,,,0.0,0.0,0.0,,
word2vec,entity_linking_bc5cdr_c,2026-04-20,,,,0.0,0.0,0.0,,
word2vec_umls,entity_linking_bc5cdr_c,2026-04-20,,,,0.0,0.0,0.0,,
pubmedbert,entity_linking_bc5cdr_d,2026-04-04,,,,0.4500335345405768,0.5220210149787614,0.483268482145075,,
sapbert,entity_linking_bc5cdr_d,2026-04-05,,,,0.7209926224010731,0.8604963112005366,0.7800997342077154,,
word2vec,entity_linking_bc5cdr_d,2026-04-20,,,,0.4428794992175274,0.6188240554437737,0.5188115465278442,,
word2vec_umls,entity_linking_bc5cdr_d,2026-04-20,,,,0.41716968477531857,0.6161412921976303,0.4983824463536066,,
pubmedbert,entity_linking_ncbi,2026-04-04,,,,0.2876884422110553,0.33668341708542715,0.31465861051288185,,
sapbert,entity_linking_ncbi,2026-04-05,,,,0.6067839195979899,0.7298994974874372,0.6638948711813033,,
word2vec,entity_linking_ncbi,2026-04-20,,,,0.2675879396984925,0.4057788944723618,0.3267523131530669,,
word2vec_umls,entity_linking_ncbi,2026-04-20,,,,0.23366834170854273,0.38316582914572866,0.29721474435670414,,
pubmedbert,nli_nli4ct,2026-04-05,0.4694,0.4537,0.579,,,,,
sapbert,nli_nli4ct,2026-04-20,0.5617,0.548,0.579,,,,,
word2vec,nli_nli4ct,2026-04-20,0.5317,0.4896,0.579,,,,,
word2vec_umls,nli_nli4ct,2026-04-20,0.5029,0.4794,0.579,,,,,
pubmedbert,sts_biosses,2026-04-05,,,,,,,0.5438,0.5499
sapbert,sts_biosses,2026-04-05,,,,,,,0.8826,0.8752
word2vec,sts_biosses,2026-04-20,,,,,,,0.4726,0.5583
word2vec_umls,sts_biosses,2026-04-20,,,,,,,0.4667,0.5492
